BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,OFFER,RETAILER
gillette venus,hair removal,health & wellness,gillette venus ® for pubic hair & skin spend $20,gillette venus
gillette venus,hair removal,health & wellness,gillette venus ® for pubic hair & skin,gillette venus
gillette venus,hair removal,health & wellness,"gillette venus ® for pubic hair & skin, spend $20",gillette venus
burts bees,hair removal,health & wellness,"burt's bees sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,hair removal,health & wellness,"burt's bee's® facial wipes, select varieties, 30 count at walmart",walmart
burts bees,hair removal,health & wellness,"burt's bees® products, select varieties, at walmart",walmart
burts bees,hair removal,health & wellness,"burt's bees® sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,makeup,beauty,"burt's bees sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,makeup,beauty,"burt's bee's® facial wipes, select varieties, 30 count at walmart",walmart
burts bees,makeup,beauty,"burt's bees® products, select varieties, at walmart",walmart
burts bees,makeup,beauty,"burt's bees® sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,skin care,health & wellness,"burt's bees sensitive lotions and creams, select varieties, at walmart",walmart
burts bees,skin care,health & wellness,"burt's bee's® facial wipes, select varieties, 30 count at walmart",walmart
burts bees,skin care,health & wellness,"burt's bees® products, select varieties, at walmart",walmart
burts bees,skin care,health & wellness,"burt's bees® sensitive lotions and creams, select varieties, at walmart",walmart
dove,bath & body,health & wellness,"dove hand wash, select varieties, buy 2 at target",target
dove,bath & body,health & wellness,"dove hand wash, select varieties at target",target
dove,makeup,beauty,"dove hand wash, select varieties, buy 2 at target",target
dove,makeup,beauty,"dove hand wash, select varieties at target",target
dove,deodorant & antiperspirant,health & wellness,"dove hand wash, select varieties, buy 2 at target",target
dove,deodorant & antiperspirant,health & wellness,"dove hand wash, select varieties at target",target
dove,hair care,health & wellness,"dove hand wash, select varieties, buy 2 at target",target
dove,hair care,health & wellness,"dove hand wash, select varieties at target",target
fresh step,bath & body,health & wellness,fresh step® outstretch® cat litter,fresh step
fresh step,bakery,deli & bakery,fresh step® outstretch® cat litter,fresh step
fresh step,makeup,beauty,fresh step® outstretch® cat litter,fresh step
fresh step,medicines & treatments,health & wellness,fresh step® outstretch® cat litter,fresh step
fresh step,cooking & baking,pantry,fresh step® outstretch® cat litter,fresh step
fresh step,hair care,health & wellness,fresh step® outstretch® cat litter,fresh step
sara lee artesano,bakery,deli & bakery,"artesano® buns, buy 2 at walmart®",walmart
sara lee artesano,bread,pantry,"artesano® buns, buy 2 at walmart®",walmart
ball park pop ups,bakery,deli & bakery,"ballpark® buns, buy 2",ballpark
ball park pop ups,bread,pantry,"ballpark® buns, buy 2",ballpark
mcalisters deli,bakery,deli & bakery,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,carbonated soft drinks,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,dips & salsa,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,coffee,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,prepared meals,deli & bakery,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,candy,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,wine,alcohol,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,chips,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,cheese,dairy,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,cooking & baking,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,bread,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,fruit juices,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,frozen chicken,frozen meat,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,tea,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,leafy salads,deli & bakery,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,water,beverages,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,fruit & vegetable snacks,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,sauces & marinades,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,cookies,snacks,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,frozen meals,frozen,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,soup & broth,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,milk,dairy,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,packaged fruit & applesauce,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,packaged meals & sides,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,pickled goods,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,dressings,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,pasta & noodles,pantry,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
mcalisters deli,frozen turkey,frozen meat,"sign up for mcalister's deli rewards, tap for details",mcalisters deli
sara lee,bakery,deli & bakery,"sara lee® bread, select varieties, buy 2 at walmart®",walmart
sara lee,bakery,deli & bakery,"sara lee® bread select varieties, buy 2",walmart
sara lee,bakery,deli & bakery,"sara lee® delightful bread, buy 2",sara lee
sara lee,cheese,dairy,"sara lee® bread, select varieties, buy 2 at walmart®",walmart
sara lee,cheese,dairy,"sara lee® bread select varieties, buy 2",walmart
sara lee,cheese,dairy,"sara lee® delightful bread, buy 2",sara lee
sara lee,bread,pantry,"sara lee® bread, select varieties, buy 2 at walmart®",walmart
sara lee,bread,pantry,"sara lee® bread select varieties, buy 2",walmart
sara lee,bread,pantry,"sara lee® delightful bread, buy 2",sara lee
sara lee,frozen desserts,frozen,"sara lee® bread, select varieties, buy 2 at walmart®",walmart
sara lee,frozen desserts,frozen,"sara lee® bread select varieties, buy 2",walmart
sara lee,frozen desserts,frozen,"sara lee® delightful bread, buy 2",sara lee
sara lee,"cereal, granola, & toaster pastries",pantry,"sara lee® bread, select varieties, buy 2 at walmart®",walmart
sara lee,"cereal, granola, & toaster pastries",pantry,"sara lee® bread select varieties, buy 2",walmart
sara lee,"cereal, granola, & toaster pastries",pantry,"sara lee® delightful bread, buy 2",sara lee
alfaros,bakery,deli & bakery,"sara lee® or alfaros® artesano bread, buy 5",sara lee
alfaros,bakery,deli & bakery,"sara lee® or alfaros® artesano bread, spend $8",sara lee
alfaros,bakery,deli & bakery,"sara lee® or alfaros® artesano bread, buy 2",sara lee
alfaros,bakery,deli & bakery,"sara lee® or alfaros® artesano bread, spend $20",sara lee
alfaros,bread,pantry,"sara lee® or alfaros® artesano bread, buy 5",sara lee
alfaros,bread,pantry,"sara lee® or alfaros® artesano bread, spend $8",sara lee
alfaros,bread,pantry,"sara lee® or alfaros® artesano bread, buy 2",sara lee
alfaros,bread,pantry,"sara lee® or alfaros® artesano bread, spend $20",sara lee
brownie brittle,bakery,deli & bakery,"brownie brittle® snacks, select varieties, buy 2",brownie brittle
brownie brittle,cookies,snacks,"brownie brittle® snacks, select varieties, buy 2",brownie brittle
bimbo,bakery,deli & bakery,"bimbo® sweet baked goods, buy 2",bimbo
bimbo,snack cakes,snacks,"bimbo® sweet baked goods, buy 2",bimbo
bimbo,bread,pantry,"bimbo® sweet baked goods, buy 2",bimbo
bimbo,cookies,snacks,"bimbo® sweet baked goods, buy 2",bimbo
entenmanns,bakery,deli & bakery,little bites® spend $10 at walmart®,walmart
entenmanns,snack cakes,snacks,little bites® spend $10 at walmart®,walmart
entenmanns,wine,alcohol,little bites® spend $10 at walmart®,walmart
entenmanns,cookies,snacks,little bites® spend $10 at walmart®,walmart
thomas,bakery,deli & bakery,"thomas'® bagel thins®, buy 2",thomas
thomas,bakery,deli & bakery,"thomas'®, select varieties, spend $10",thomas
thomas,bakery,deli & bakery,thomas'® bagel thins,thomas
thomas,frozen breakfast,frozen,"thomas'® bagel thins®, buy 2",thomas
thomas,frozen breakfast,frozen,"thomas'®, select varieties, spend $10",thomas
thomas,frozen breakfast,frozen,thomas'® bagel thins,thomas
thomas,bread,pantry,"thomas'® bagel thins®, buy 2",thomas
thomas,bread,pantry,"thomas'®, select varieties, spend $10",thomas
thomas,bread,pantry,thomas'® bagel thins,thomas
arnold brownberry oroweat,bakery,deli & bakery,"arnold, brownberry, oroweat® small slice bread, at walmart",walmart
arnold brownberry oroweat,bakery,deli & bakery,"arnold, brownberry, oroweat® keto bread, buy 2","arnold, brownberry, oroweat"
arnold brownberry oroweat,bakery,deli & bakery,arnold® grains almighty,arnold
arnold brownberry oroweat,prepared meals,deli & bakery,"arnold, brownberry, oroweat® small slice bread, at walmart",walmart
arnold brownberry oroweat,prepared meals,deli & bakery,"arnold, brownberry, oroweat® keto bread, buy 2","arnold, brownberry, oroweat"
arnold brownberry oroweat,prepared meals,deli & bakery,arnold® grains almighty,arnold
arnold brownberry oroweat,bread,pantry,"arnold, brownberry, oroweat® small slice bread, at walmart",walmart
arnold brownberry oroweat,bread,pantry,"arnold, brownberry, oroweat® keto bread, buy 2","arnold, brownberry, oroweat"
arnold brownberry oroweat,bread,pantry,arnold® grains almighty,arnold
dr pepper,carbonated soft drinks,beverages,"dr pepper®, regular or zero sugar strawberries and cream 12 pack, at select retailers",united supermarkets
dr pepper,cooking & baking,pantry,"dr pepper®, regular or zero sugar strawberries and cream 12 pack, at select retailers",united supermarkets
mountain dew,carbonated soft drinks,beverages,"mtn dew® kickstart, 16-ounce 12 count, select varieties, at amazon storefront*",amazon
pepsi,carbonated soft drinks,beverages,"pepsico® beverage, 7.5-ounce 10 pack, select varieties, at amazon storefront*",amazon
pepsi,carbonated soft drinks,beverages,"pepsico® variety pack, select varieties, at amazon storefront*",amazon
starry,carbonated soft drinks,beverages,"starry™ lemon lime soda multipacks, at kroger",dillons grocery
starry,carbonated soft drinks,beverages,"starry™ lemon lime soda, 7.5-ounce 10 pack, at amazon storefront*",amazon
evolve,carbonated soft drinks,beverages,"evolve® plant-based protein shake, 4 count, select varieties, at whole foods",whole foods market
evolve,meal replacement beverages,beverages,"evolve® plant-based protein shake, 4 count, select varieties, at whole foods",whole foods market
evolve,frozen turkey,frozen meat,"evolve® plant-based protein shake, 4 count, select varieties, at whole foods",whole foods market
goya,carbonated soft drinks,beverages,goya® coconut water,goya
goya,carbonated soft drinks,beverages,"goya® adobo seasoning, 8 ounce+",goya
goya,dips & salsa,snacks,goya® coconut water,goya
goya,dips & salsa,snacks,"goya® adobo seasoning, 8 ounce+",goya
goya,cooking & baking,pantry,goya® coconut water,goya
goya,cooking & baking,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,bread,pantry,goya® coconut water,goya
goya,bread,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,nut butters & jam,pantry,goya® coconut water,goya
goya,nut butters & jam,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,fruit juices,beverages,goya® coconut water,goya
goya,fruit juices,beverages,"goya® adobo seasoning, 8 ounce+",goya
goya,dry pasta,pasta & noodles,goya® coconut water,goya
goya,dry pasta,pasta & noodles,"goya® adobo seasoning, 8 ounce+",goya
goya,frozen chicken,frozen meat,goya® coconut water,goya
goya,frozen chicken,frozen meat,"goya® adobo seasoning, 8 ounce+",goya
goya,water,beverages,goya® coconut water,goya
goya,water,beverages,"goya® adobo seasoning, 8 ounce+",goya
goya,malt beverages,alcohol,goya® coconut water,goya
goya,malt beverages,alcohol,"goya® adobo seasoning, 8 ounce+",goya
goya,rice & grains,pantry,goya® coconut water,goya
goya,rice & grains,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,sauces & marinades,pantry,goya® coconut water,goya
goya,sauces & marinades,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,packaged vegetables,pantry,goya® coconut water,goya
goya,packaged vegetables,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,crackers,snacks,goya® coconut water,goya
goya,crackers,snacks,"goya® adobo seasoning, 8 ounce+",goya
goya,packaged meat,pantry,goya® coconut water,goya
goya,packaged meat,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,cookies,snacks,goya® coconut water,goya
goya,cookies,snacks,"goya® adobo seasoning, 8 ounce+",goya
goya,frozen meals,frozen,goya® coconut water,goya
goya,frozen meals,frozen,"goya® adobo seasoning, 8 ounce+",goya
goya,soup & broth,pantry,goya® coconut water,goya
goya,soup & broth,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,frozen vegetables,frozen,goya® coconut water,goya
goya,frozen vegetables,frozen,"goya® adobo seasoning, 8 ounce+",goya
goya,drink mixes,beverages,goya® coconut water,goya
goya,drink mixes,beverages,"goya® adobo seasoning, 8 ounce+",goya
goya,milk,dairy,goya® coconut water,goya
goya,milk,dairy,"goya® adobo seasoning, 8 ounce+",goya
goya,frozen fruits,frozen,goya® coconut water,goya
goya,frozen fruits,frozen,"goya® adobo seasoning, 8 ounce+",goya
goya,pickled goods,pantry,goya® coconut water,goya
goya,pickled goods,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,pasta & noodles,pantry,goya® coconut water,goya
goya,pasta & noodles,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,pudding & gelatin,snacks,goya® coconut water,goya
goya,pudding & gelatin,snacks,"goya® adobo seasoning, 8 ounce+",goya
goya,packaged seafood,pantry,goya® coconut water,goya
goya,packaged seafood,pantry,"goya® adobo seasoning, 8 ounce+",goya
goya,deli counter,deli & bakery,goya® coconut water,goya
goya,deli counter,deli & bakery,"goya® adobo seasoning, 8 ounce+",goya
goya,frozen seafood,frozen meat,goya® coconut water,goya
goya,frozen seafood,frozen meat,"goya® adobo seasoning, 8 ounce+",goya
goya,frozen appetizers,frozen,goya® coconut water,goya
goya,frozen appetizers,frozen,"goya® adobo seasoning, 8 ounce+",goya
stubborn soda,carbonated soft drinks,beverages,"stubborn soda or bundaberg ginger beer, select varieties, at amazon storefront*",amazon
hidden valley ranch,dips & salsa,snacks,"hidden valley® ranch salad dressing or secret sauce, select varieties",hidden valley
hidden valley ranch,dips & salsa,snacks,"hidden valley® ranch seasoning mix packet, 1 count",hidden valley
hidden valley ranch,dips & salsa,snacks,"hidden valley® ranch seasoning, select varieties",hidden valley
hidden valley ranch,dips & salsa,snacks,hidden valley® ranch seasoning shaker,hidden valley
hidden valley ranch,dips & salsa,snacks,"hidden valley® ranch night seasoning mix, 1 count",hidden valley
hidden valley ranch,cooking & baking,pantry,"hidden valley® ranch salad dressing or secret sauce, select varieties",hidden valley
hidden valley ranch,cooking & baking,pantry,"hidden valley® ranch seasoning mix packet, 1 count",hidden valley
hidden valley ranch,cooking & baking,pantry,"hidden valley® ranch seasoning, select varieties",hidden valley
hidden valley ranch,cooking & baking,pantry,hidden valley® ranch seasoning shaker,hidden valley
hidden valley ranch,cooking & baking,pantry,"hidden valley® ranch night seasoning mix, 1 count",hidden valley
hidden valley ranch,sauces & marinades,pantry,"hidden valley® ranch salad dressing or secret sauce, select varieties",hidden valley
hidden valley ranch,sauces & marinades,pantry,"hidden valley® ranch seasoning mix packet, 1 count",hidden valley
hidden valley ranch,sauces & marinades,pantry,"hidden valley® ranch seasoning, select varieties",hidden valley
hidden valley ranch,sauces & marinades,pantry,hidden valley® ranch seasoning shaker,hidden valley
hidden valley ranch,sauces & marinades,pantry,"hidden valley® ranch night seasoning mix, 1 count",hidden valley
tostitos,dips & salsa,snacks,tostitos® toppers™,tostitos
tostitos,chips,snacks,tostitos® toppers™,tostitos
tostitos,sauces & marinades,pantry,tostitos® toppers™,tostitos
good humor,dips & salsa,snacks,good humor viennetta frozen vanilla cake,good humor
good humor,dips & salsa,snacks,"reese's peanut butter bar, 6 count, at giant or martin’s",the giant co
good humor,dips & salsa,snacks,"reese's peanut butter bar, 6 count, at giant or martin’s",martins foods
good humor,frozen desserts,frozen,good humor viennetta frozen vanilla cake,good humor
good humor,frozen desserts,frozen,"reese's peanut butter bar, 6 count, at giant or martin’s",the giant co
good humor,frozen desserts,frozen,"reese's peanut butter bar, 6 count, at giant or martin’s",martins foods
nature valley,dips & salsa,snacks,nature valley™ protein granola,nature valley
nature valley,candy,snacks,nature valley™ protein granola,nature valley
nature valley,chips,snacks,nature valley™ protein granola,nature valley
nature valley,nut butters & jam,pantry,nature valley™ protein granola,nature valley
nature valley,"cereal, granola, & toaster pastries",pantry,nature valley™ protein granola,nature valley
nature valley,nuts & seeds,snacks,nature valley™ protein granola,nature valley
nature valley,fruit & vegetable snacks,snacks,nature valley™ protein granola,nature valley
nature valley,crackers,snacks,nature valley™ protein granola,nature valley
nature valley,cookies,snacks,nature valley™ protein granola,nature valley
nature valley,trail mix,snacks,nature valley™ protein granola,nature valley
chosen foods,dips & salsa,snacks,"chosen foods® mayo, select varieties",chosen foods
chosen foods,dips & salsa,snacks,chosen foods® dressings,chosen foods
chosen foods,cooking & baking,pantry,"chosen foods® mayo, select varieties",chosen foods
chosen foods,cooking & baking,pantry,chosen foods® dressings,chosen foods
chosen foods,condiments,pantry,"chosen foods® mayo, select varieties",chosen foods
chosen foods,condiments,pantry,chosen foods® dressings,chosen foods
chosen foods,dressings,pantry,"chosen foods® mayo, select varieties",chosen foods
chosen foods,dressings,pantry,chosen foods® dressings,chosen foods
red gold,dips & salsa,snacks,red gold tomato ketchup,red gold
red gold,dips & salsa,snacks,red gold tomato juice,red gold
red gold,cooking & baking,pantry,red gold tomato ketchup,red gold
red gold,cooking & baking,pantry,red gold tomato juice,red gold
red gold,sauces & marinades,pantry,red gold tomato ketchup,red gold
red gold,sauces & marinades,pantry,red gold tomato juice,red gold
red gold,condiments,pantry,red gold tomato ketchup,red gold
red gold,condiments,pantry,red gold tomato juice,red gold
red gold,drink mixes,beverages,red gold tomato ketchup,red gold
red gold,drink mixes,beverages,red gold tomato juice,red gold
glad,household supplies,household supplies,"glad® trash bags, 4 or 8 gallon",glad
glad,household supplies,household supplies,glad® forceflex max strength trash bags,glad
glad,prepared meals,deli & bakery,"glad® trash bags, 4 or 8 gallon",glad
glad,prepared meals,deli & bakery,glad® forceflex max strength trash bags,glad
glad,crackers,snacks,"glad® trash bags, 4 or 8 gallon",glad
glad,crackers,snacks,glad® forceflex max strength trash bags,glad
glad,food storage,household supplies,"glad® trash bags, 4 or 8 gallon",glad
glad,food storage,household supplies,glad® forceflex max strength trash bags,glad
snuggle,household supplies,household supplies,"snuggle® liquid fabric softener, at walmart",walmart
brita,household supplies,household supplies,brita® pitcher and filter,brita
brita,household supplies,household supplies,brita® standard or elite filters,brita
brita,household supplies,household supplies,brita® pitcher or dispenser,brita
brita,water,beverages,brita® pitcher and filter,brita
brita,water,beverages,brita® standard or elite filters,brita
brita,water,beverages,brita® pitcher or dispenser,brita
super coffee,coffee,beverages,"super coffee, 12 ounce single serve, buy 3",super coffee
super coffee,coffee,beverages,"super coffee, 12 ounce single serve",super coffee
cameron's coffee,coffee,beverages,cameron’s coffee ecopods,camerons coffee
bubbies,prepared meals,deli & bakery,"bubbies pickles, sauerkraut, and condiments at whole foods or sprouts",sprouts farmers market
bubbies,prepared meals,deli & bakery,"bubbies pickles, sauerkraut, or condiments at whole foods or sprouts",sprouts farmers market
marinela,snack cakes,snacks,"marinela® sweet baked goods, buy 2",marinela
marinela,candy,snacks,"marinela® sweet baked goods, buy 2",marinela
marinela,cookies,snacks,"marinela® sweet baked goods, buy 2",marinela
m&ms,candy,snacks,"m&m's®, select sizes, buy 1",m&ms
m&ms,candy,snacks,"m&m's® chocolate candies, select varieties",m&ms
snickers,candy,snacks,"snickers®, select sizes, buy 1",snickers
snickers,candy,snacks,"snickers® chocolate candy bar, select varieties",snickers
twix,candy,snacks,"twix®, select sizes",twix
twix,candy,snacks,"twix®, select varieties",twix
twix,cookies,snacks,"twix®, select sizes",twix
twix,cookies,snacks,"twix®, select varieties",twix
skittles,candy,snacks,"skittles®, select varieties",skittles
skittles,candy,snacks,"skittles®, select sizes",skittles
skittles,fruit juices,beverages,"skittles®, select varieties",skittles
skittles,fruit juices,beverages,"skittles®, select sizes",skittles
lifesavers,candy,snacks,life savers®,life savers
lifesavers,candy,snacks,"lifesavers®, any size, buy 1",lifesavers
starburst,candy,snacks,"starburst®, select sizes, buy 1",starburst
starburst,candy,snacks,"starburst®, select varieties",starburst
starburst,fruit & vegetable snacks,snacks,"starburst®, select sizes, buy 1",starburst
starburst,fruit & vegetable snacks,snacks,"starburst®, select varieties",starburst
starburst,gum,candy,"starburst®, select sizes, buy 1",starburst
starburst,gum,candy,"starburst®, select varieties",starburst
dove chocolate,candy,snacks,"dove® chocolate, select sizes, buy 1",dove
dove chocolate,candy,snacks,"dove® chocolate, select varieties",dove
safeway,candy,snacks,shop 2 times at safeway,safeway
safeway,candy,snacks,spend $210 at safeway,safeway
safeway,candy,snacks,any safeway receipt,safeway
safeway,candy,snacks,spend $115 at safeway,safeway
safeway,candy,snacks,spend $90 at safeway,safeway
albertsons,candy,snacks,any albertsons receipt,albertsons
albertsons,candy,snacks,shop 2 times at albertsons,albertsons
albertsons,candy,snacks,spend $65 at albertsons,albertsons
albertsons,candy,snacks,spend $110 at albertsons,albertsons
albertsons,candy,snacks,spend $220 at albertsons,albertsons
crunchmaster,candy,snacks,"crunchmaster® crackers, spend $4",crunchmaster
crunchmaster,crackers,snacks,"crunchmaster® crackers, spend $4",crunchmaster
envy,candy,snacks,envy apples pre-packed bags,envy
envy,candy,snacks,"envy apples, pre-packed bags",envy
